,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
BH,2.02,874.64M,38.14,3.87,0.96,1.20,21.02,43.83%,2.38%,N/A,N/A,916.29M,478.63,9.90%,167.65M,49.50M,209.55,N/A,134.16M,64.95,319.70M,43.73,1.61,353.92,15.32M,N/A,0.05,6.03%,459.43,312.00,424.44,409.61,"12,177","18,888",2.07M,2.07%,83.40%,52.06K,3.30,N/A,N/A
BIND,N/A,92.79M,N/A,N/A,7.06,2.24,-1.99,-245.59%,-248.00%,-26.46%,-63.18%,13.24M,0.78,180.10%,10.43M,-31.06M,-1.90,N/A,62.54M,3.07,14.50M,34.72,5.49,2.05,-32.35M,-21.04M,N/A,-51.70%,10.78,4.25,5.42,6.00,"148,608","148,375",20.39M,41.63%,28.10%,1.06M,6.80,N/A,N/A
BIO,43.42,4.34B,36.30,4.23,1.97,1.92,12.88,4.68%,7.90%,3.12%,4.51%,2.14B,73.87,-7.20%,1.18B,314.37M,3.43,167.20%,710.69M,24.39,435.92M,19.83,4.08,75.46,237.19M,193.27M,1.00,24.72%,152.38,102.71,149.44,137.80,"139,995","114,575",24.02M,93.91%,0.60%,1.02M,6.50,N/A,N/A
TECH,37.15,4.03B,27.47,2.38,9.57,4.98,20.88,25.37%,37.91%,10.45%,13.55%,426.61M,11.52,19.50%,251.41M,190.55M,2.92,-23.20%,159.95M,4.31,155.01M,18.90,7.65,22.07,140.14M,99.68M,0.56,14.56%,114.56,86.01,103.49,99.35,"190,156","254,738",37.15M,0.53%,96.10%,2.09M,11.10,1.20%,1.27
BRLI,20.59,1.04B,16.44,1.08,1.19,3.12,11.38,5.74%,10.14%,11.60%,16.28%,882.47M,31.80,11.20%,370.00M,115.98M,1.82,1.80%,25.15M,0.90,69.85M,20.75,2.34,12.11,27.32M,6.91M,-0.79,17.09%,47.49,26.32,42.97,36.81,"639,986","398,562",27.83M,12.22%,94.10%,3.90M,7.10,N/A,N/A
BASI,N/A,14.30M,N/A,N/A,0.52,1.43,9.54,0.60%,1.30%,0.82%,1.46%,24.02M,2.98,-3.10%,7.96M,1.84M,-0.02,N/A,536.00K,0.07,5.32M,53.26,0.73,1.09,1.12M,-72.00K,1.79,-29.77%,2.60,1.23,1.77,1.98,"12,869","11,313",9.47M,18.63%,5.90%,36.79K,5.60,N/A,N/A
BIOC,N/A,39.39M,N/A,N/A,161.37,3.03,-2.28,N/A,"-5,486.16%",-54.36%,-126.76%,255.14K,0.04,430.50%,-2.04M,-13.75M,-2.46,N/A,19.29M,1.08,4.89M,35.99,9.08,0.76,-12.84M,-6.67M,0.87,-55.65%,5.00,1.09,2.58,2.64,"865,023","644,700",17.90M,47.15%,9.10%,2.25M,3.00,N/A,N/A
BCRX,N/A,790.48M,N/A,0.56,60.96,16.07,-20.12,-295.81%,-311.12%,-38.10%,-171.25%,16.98M,0.24,97.40%,13.61M,-52.65M,-0.72,N/A,67.53M,0.93,30.00M,46.61,1.32,0.89,-33.32M,-16.73M,3.62,-19.62%,16.83,7.85,15.18,11.64,"945,661","1,083,650",72.52M,24.81%,58.30%,9.38M,7.00,N/A,N/A
BIOD,N/A,61.51M,N/A,N/A,N/A,1.49,-2.64,N/A,N/A,-46.39%,-71.18%,N/A,N/A,N/A,N/A,-17.75M,-0.65,N/A,17.75M,0.29,0.00,N/A,8.74,0.66,-16.59M,-9.91M,0.68,-50.50%,2.18,0.95,1.03,1.20,"159,617","94,050",62.12M,10.21%,23.80%,773.50K,5.00,N/A,N/A
BDSI,N/A,364.85M,N/A,-3.48,12.30,7.72,-8.95,-184.51%,-150.93%,-31.84%,-100.94%,31.31M,0.62,-36.90%,34.00M,-46.08M,-1.15,N/A,63.46M,1.21,10.26M,20.58,2.42,0.95,-34.45M,-22.28M,1.11,-47.59%,18.48,6.88,8.35,10.48,"1,248,520","1,644,600",52.42M,9.09%,73.90%,10.26M,9.40,N/A,N/A
BIIB,20.93,72.67B,17.38,1.23,7.24,5.92,13.03,33.90%,45.35%,19.67%,31.47%,10.30B,43.71,7.10%,8.53B,5.28B,14.76,29.80%,2.37B,10.07,579.47M,4.61,1.79,53.44,N/A,N/A,0.50,-3.54%,480.18,290.85,376.38,395.88,"2,052,040","3,103,350",235.17M,0.10%,92.90%,2.60M,1.80,N/A,N/A
BJCT,N/A,1.10M,N/A,N/A,1.27,N/A,N/A,-63.46%,-50.06%,-21.01%,N/A,1.80M,0.05,-7.90%,1.71M,N/A,-0.04,N/A,N/A,N/A,0.00,N/A,1.00,-0.11,N/A,N/A,2.49,-68.42%,0.35,0.04,0.05,0.09,"13,820","1,525",18.91M,20.42%,0.50%,2.98K,0.20,N/A,N/A
BIOL,N/A,94.21M,N/A,-0.28,1.99,2.51,-4.30,-41.71%,-32.12%,-22.49%,-84.43%,46.69M,0.98,-5.70%,18.17M,-14.32M,-0.41,N/A,23.74M,0.41,383.00K,1.03,3.11,0.64,-20.81M,-11.23M,3.00,-28.00%,3.00,1.31,1.61,1.96,"134,666","70,363",58.15M,31.11%,25.30%,3.16M,60.20,N/A,N/A
BLFS,N/A,26.13M,N/A,N/A,4.93,2.55,-5.24,-65.58%,-69.80%,-15.76%,-28.92%,5.63M,0.47,-27.30%,3.04M,-3.65M,-0.31,N/A,8.58M,0.71,0.00,N/A,7.49,0.90,-3.58M,-2.60M,-3.04,-13.31%,4.44,1.50,2.15,1.98,"350,233","60,313",12.16M,48.26%,0.90%,102.86K,0.70,N/A,N/A
BMRN,N/A,21.46B,N/A,-2.31,26.91,8.90,-158.62,-20.35%,-23.90%,-4.00%,-8.41%,802.75M,5.36,34.10%,621.28M,-144.34M,-1.10,N/A,1.01B,6.29,655.49M,27.03,4.98,15.13,-184.86M,-50.50M,1.09,106.13%,151.75,63.59,141.68,122.07,"1,307,590","1,323,710",160.34M,0.22%,100.10%,5.40M,3.90,N/A,N/A
BMR,21.77,4.22B,13.92,2.11,6.39,1.36,17.43,29.40%,22.09%,1.46%,6.57%,653.98M,3.35,-0.80%,460.11M,403.45M,0.96,-7.90%,65.06M,0.32,2.77B,87.66,0.58,15.35,296.78M,154.39M,0.20,-4.31%,25.11,19.12,20.29,21.44,"1,478,250","1,908,260",202.05M,0.87%,123.10%,4.09M,2.60,5.10%,1.33
BIOS,N/A,183.98M,134.00,-0.85,0.19,0.92,-12.78,-14.09%,-6.49%,-4.68%,-45.37%,1.01B,14.67,9.40%,261.07M,-44.64M,-2.09,N/A,23.25M,0.34,418.83M,162.19,1.46,2.98,-33.48M,27.30M,0.90,-66.16%,8.75,2.36,3.07,4.35,"1,196,010","839,812",68.65M,8.16%,94.00%,19.73M,17.10,N/A,N/A
BSTC,69.46,407.77M,32.01,N/A,23.03,11.58,40.84,36.77%,55.74%,19.89%,21.78%,16.93M,2.58,103.30%,14.08M,9.70M,0.87,209.10%,23.74M,3.52,0.00,N/A,31.82,5.00,4.19M,3.58M,0.43,109.05%,72.07,26.89,56.53,44.37,"68,820","110,650",6.74M,47.57%,30.90%,170.22K,2.70,N/A,N/A
BOTA,N/A,85.70M,N/A,N/A,2.89,1.03,-1.40,-32.53%,-28.72%,-4.96%,-10.59%,28.90M,0.82,-80.00%,13.20M,-6.20M,-0.27,-62.50%,73.50M,2.09,0.00,N/A,12.14,2.32,800.00K,5.21M,0.05,-2.40%,3.00,1.94,2.27,2.33,"95,263","38,838",35.12M,13.24%,43.00%,47.98K,0.30,N/A,N/A
BEAT,N/A,331.65M,22.29,N/A,1.90,4.89,17.45,-3.51%,3.16%,2.87%,-8.91%,163.51M,6.14,18.10%,93.46M,17.91M,-0.22,N/A,12.29M,0.45,24.79M,38.70,1.54,2.35,6.26M,4.61M,0.57,85.76%,12.66,6.44,10.72,9.88,"222,086","347,138",27.05M,15.59%,64.80%,968.22K,4.20,N/A,N/A
BTX,N/A,239.85M,N/A,N/A,41.74,10.00,-5.15,N/A,-974.94%,-51.94%,-90.67%,5.44M,0.08,18.50%,4.41M,-44.68M,-0.54,N/A,25.83M,0.33,805.68K,1.40,3.48,0.29,-37.57M,-17.57M,1.68,1.41%,5.95,2.62,3.46,4.34,"340,022","224,188",83.28M,51.73%,11.70%,6.86M,18.20,N/A,N/A
BJRI,36.05,1.28B,27.18,1.53,1.46,3.59,12.16,4.19%,5.90%,N/A,N/A,877.45M,33.01,5.80%,450.44M,108.60M,1.36,55.40%,25.96M,0.99,38.60M,10.75,N/A,13.63,N/A,N/A,1.87,36.46%,55.44,32.90,49.58,48.98,"347,116","474,425",26.23M,29.57%,75.70%,2.91M,9.40,N/A,N/A
BBOX,16.83,256.13M,8.13,0.98,0.26,0.76,7.36,1.55%,3.57%,3.17%,4.46%,992.44M,64.42,2.80%,302.27M,52.96M,0.99,N/A,23.53M,1.53,138.53M,41.09,1.83,21.94,46.50M,46.54M,1.24,-23.08%,24.91,14.78,18.87,20.41,"83,895","153,888",15.37M,2.13%,96.80%,454.92K,6.00,2.50%,0.41
BDE,22.45,306.18M,20.35,2.16,1.56,1.23,63.66,6.87%,-1.09%,-0.43%,-3.00%,198.97M,6.10,13.10%,74.90M,4.95M,0.42,N/A,36.79M,1.13,21.97M,8.73,6.19,7.69,-24.53M,-8.91M,1.80,5.52%,10.75,6.25,9.60,8.80,"213,562","225,325",32.71M,29.60%,62.60%,2.35M,12.60,N/A,N/A
BKH,14.51,1.87B,13.70,2.34,1.37,1.33,8.18,9.35%,19.11%,3.97%,9.37%,1.38B,30.95,-4.00%,452.69M,414.47M,2.88,-0.50%,63.38M,1.41,1.65B,117.26,1.16,31.41,376.85M,-164.63M,1.41,-20.23%,57.17,39.79,43.23,47.79,"259,792","313,725",44.82M,1.04%,71.90%,1.26M,4.90,4.00%,1.59
BLKB,94.32,2.73B,32.96,2.01,4.64,14.41,31.32,4.93%,8.36%,4.08%,16.33%,583.79M,12.88,15.20%,290.98M,94.82M,0.63,12.30%,13.29M,0.29,286.82M,152.66,0.63,4.13,93.24M,83.98M,0.20,61.35%,61.95,36.15,58.97,51.15,"210,291","195,275",46.06M,12.15%,103.60%,2.47M,9.60,0.80%,0.48
HAWK,48.13,2.39B,17.07,0.94,1.47,3.49,16.79,3.14%,5.36%,3.50%,10.92%,1.62B,30.41,31.10%,1.33B,149.47M,0.92,-43.20%,276.73M,5.12,377.61M,54.70,0.99,12.65,97.99M,108.10M,0.02,57.10%,46.13,27.26,43.17,37.87,"605,447","465,850",58.90M,1.31%,104.80%,1.37M,2.50,N/A,N/A
BLK,16.74,55.21B,14.61,1.47,4.92,2.03,12.40,29.94%,40.90%,N/A,N/A,11.26B,67.35,4.60%,10.85B,4.86B,19.82,1.40%,40.74B,244.87,44.27B,160.07,N/A,163.84,N/A,N/A,1.72,7.59%,382.84,293.39,344.53,360.51,"598,347","575,788",166.38M,2.28%,87.70%,1.54M,2.20,2.60%,8.22
BKCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX,15.14,22.98B,10.03,-24.86,3.20,3.14,N/A,21.44%,47.97%,N/A,N/A,7.30B,11.71,-46.70%,7.36B,N/A,2.50,-74.00%,1.22B,2.01,9.20B,51.24,N/A,12.24,N/A,N/A,0.95,12.22%,44.43,26.56,40.28,39.93,"3,983,710","3,486,940",548.30M,1.03%,67.80%,10.39M,2.70,7.70%,2.85
BXMT,13.70,2.63B,10.96,1.05,17.80,1.19,N/A,84.31%,58.72%,3.35%,10.63%,133.29M,2.49,81.80%,N/A,N/A,2.10,170.90%,18.86M,0.23,3.52B,234.26,16.21,24.49,98.01M,N/A,1.02,1.92%,31.80,26.51,28.74,29.28,"822,294","530,925",91.73M,1.93%,70.40%,1.44M,1.40,7.30%,2.06
HRB,20.78,9.74B,15.65,1.62,3.14,5.28,7.45,15.39%,25.81%,10.79%,28.72%,3.08B,11.19,-10.20%,1.75B,954.47M,1.70,-18.80%,2.45B,8.89,540.09M,29.47,1.57,6.66,626.61M,501.14M,1.67,6.47%,36.29,27.42,31.76,32.33,"2,742,960","3,806,080",275.29M,0.28%,88.70%,6.58M,2.50,2.40%,0.80
BLMN,29.41,2.78B,15.14,1.18,0.63,5.49,8.84,2.18%,5.76%,5.04%,18.77%,4.49B,35.80,3.80%,739.34M,449.19M,0.76,12.80%,135.65M,1.08,1.32B,243.02,0.66,4.10,408.14M,92.05M,1.35,39.28%,26.25,15.95,22.49,23.42,"1,686,970","2,382,810",123.97M,7.69%,92.70%,6.35M,3.40,1.10%,0.12
BLT,10.21,347.69M,9.93,0.72,0.37,2.40,6.54,3.81%,8.33%,5.82%,22.64%,918.85M,18.53,-11.20%,275.12M,120.95M,0.70,-14.60%,23.94M,0.49,423.48M,297.60,2.88,2.93,70.88M,27.97M,2.25,-52.62%,17.97,6.73,9.14,12.58,"308,356","456,350",48.63M,3.08%,98.30%,956.25K,2.70,N/A,N/A
BCOR,N/A,559.25M,10.28,0.51,1.04,1.06,6.64,-7.13%,9.04%,3.30%,-7.03%,539.36M,13.12,-19.10%,260.22M,84.42M,-0.94,-11.10%,311.44M,7.61,241.06M,45.67,5.17,12.92,57.33M,65.66M,0.87,-16.60%,17.30,12.61,15.53,14.92,"302,333","424,850",40.91M,5.20%,95.30%,2.97M,9.60,N/A,N/A
BHBK,182.78,411.06M,53.48,N/A,7.96,1.00,N/A,5.36%,24.07%,0.15%,0.95%,52.08M,1.83,16.20%,N/A,N/A,0.08,296.00%,53.40M,1.88,130.00M,N/A,N/A,14.53,N/A,N/A,N/A,15.52%,15.06,11.25,14.53,13.63,"70,233","58,288",28.47M,N/A,N/A,598.29K,7.20,0.60%,0.02
NILE,40.00,392.12M,31.17,4.08,0.76,22.80,20.34,2.07%,3.05%,8.22%,45.68%,476.24M,39.98,2.60%,86.64M,16.10M,0.83,10.00%,39.66M,3.34,512.00K,3.24,1.00,1.33,10.53M,5.98M,0.39,23.84%,37.50,25.91,30.96,29.87,"133,886","127,688",11.87M,1.17%,105.50%,1.91M,12.60,N/A,N/A
BLUE,N/A,5.52B,N/A,-0.19,202.46,10.81,-70.80,-247.29%,-292.66%,-12.52%,-20.33%,25.43M,0.89,0.10%,25.42M,-68.96M,-2.19,N/A,334.88M,10.20,0.00,N/A,8.11,14.51,-71.92M,-28.13M,0.86,348.81%,197.35,29.73,163.60,138.68,"940,741","904,325",35.63M,19.70%,66.40%,2.02M,1.70,N/A,N/A
BKEP,67.25,225.80M,45.73,2.55,1.26,0.45,7.72,13.48%,18.31%,5.83%,31.14%,182.54M,6.33,-8.80%,52.38M,59.79M,0.10,-61.10%,2.38M,0.07,228.44M,205.04,1.22,15.72,56.10M,7.00M,0.27,-19.67%,9.00,5.48,7.24,7.55,"52,341","52,638",32.92M,22.50%,44.80%,26.60K,0.60,8.00%,0.56
BXC,N/A,86.72M,N/A,N/A,0.04,N/A,24.33,-0.71%,0.66%,1.35%,N/A,1.99B,23.01,2.50%,229.10M,22.49M,-0.16,N/A,6.03M,0.07,469.15M,N/A,3.19,-0.50,-3.73M,12.30M,1.60,-24.22%,1.39,0.86,0.98,1.07,"20,781","34,213",89.40M,65.61%,23.00%,179.24K,7.10,N/A,N/A
BRG,N/A,159.28M,12.06,2.06,4.10,1.07,28.84,-2.14%,-6.50%,-0.51%,3.47%,37.97M,4.60,203.30%,16.15M,12.29M,-0.10,N/A,66.49M,5.03,255.06M,137.25,11.20,11.06,9.65M,-7.58M,N/A,0.50%,14.27,11.51,12.65,13.23,"202,186","138,162",13.21M,20.34%,5.10%,N/A,N/A,N/A,1.16
BTH,0.85,65.83M,N/A,N/A,0.16,0.68,6.47,16.20%,0.29%,0.29%,-24.11%,475.51M,29.48,-12.30%,307.24M,9.47M,4.81,N/A,64.66M,4.01,40.25M,36.09,2.19,6.87,3.53M,16.46M,2.27,-37.80%,10.37,4.00,5.57,7.04,"19,039","21,500",16.14M,55.29%,38.10%,84.38K,5.40,N/A,N/A
BNCN,19.48,843.97M,13.04,1.76,4.24,1.86,N/A,20.67%,36.72%,0.92%,10.01%,176.77M,5.64,25.40%,N/A,N/A,1.16,79.60%,N/A,N/A,337.71M,N/A,N/A,12.38,N/A,N/A,1.04,31.39%,23.32,15.51,20.72,18.48,"94,570","89,000",32.59M,6.48%,36.10%,511.32K,3.60,0.90%,0.20
BWP,16.51,3.34B,13.92,1.67,2.83,0.81,10.28,16.67%,30.67%,2.88%,4.78%,1.21B,4.95,-7.60%,914.30M,671.10M,0.81,-29.50%,28.80M,0.12,3.57B,83.70,0.96,16.73,524.60M,46.22M,0.35,-30.71%,20.51,13.12,14.23,15.74,"811,228","692,775",250.30M,5.78%,77.20%,2.81M,2.70,3.00%,0.40
BOBE,67.81,1.05B,23.16,2.33,0.79,2.94,12.82,1.23%,3.01%,2.42%,4.30%,1.35B,57.44,1.80%,892.15M,120.65M,0.70,-56.90%,6.36M,0.28,451.08M,118.71,0.81,16.23,103.11M,27.48M,0.65,-0.54%,60.15,42.28,50.28,49.45,"311,816","223,525",22.15M,10.08%,79.70%,1.99M,5.00,2.50%,1.24
BODY,N/A,58.03K,N/A,N/A,0.00,0.00,-0.38,-31.11%,-21.78%,-29.84%,-142.95%,225.82M,137.90,-28.60%,72.76M,-40.76M,-42.89,N/A,4.85M,2.95,20.15M,137.73,1.29,8.90,-30.20M,-26.92M,1.62,-99.00%,5.00,0.03,0.06,0.11,"7,419","1,375",1.66M,8.25%,43.00%,3.80M,8.10,N/A,N/A
BA,19.37,96.77B,15.33,1.54,1.03,15.64,10.27,5.56%,7.96%,4.95%,51.48%,94.94B,134.14,11.30%,14.01B,9.48B,7.35,-32.80%,9.59B,14.11,9.02B,142.95,1.17,9.20,9.32B,5.79B,0.70,17.90%,158.83,116.32,143.77,146.62,"3,231,400","2,794,640",679.50M,0.08%,9.90%,14.52M,4.90,2.50%,3.46
BOFI,26.81,2.02B,16.34,1.96,10.08,4.06,N/A,37.40%,65.18%,1.58%,17.80%,198.63M,13.21,42.90%,N/A,N/A,4.90,44.20%,238.91M,15.56,623.71M,N/A,N/A,32.12,42.55M,N/A,0.44,61.13%,134.79,64.62,113.13,97.20,"205,536","367,238",15.35M,12.31%,64.20%,2.68M,13.50,N/A,N/A
WIFI,N/A,361.86M,N/A,-1.21,2.82,2.87,24.42,-17.96%,-15.11%,-5.16%,-16.59%,122.24M,3.39,11.10%,34.41M,14.93M,-0.62,N/A,10.62M,0.29,11.19M,9.26,0.82,3.28,25.61M,-50.08M,0.41,55.35%,10.42,6.05,9.08,8.43,"362,480","374,638",36.63M,13.80%,77.60%,3.10M,9.70,N/A,N/A
BCC,16.39,1.24B,13.73,3.23,0.34,2.31,7.47,2.10%,3.84%,6.87%,14.92%,3.61B,91.50,-0.60%,508.06M,192.31M,1.92,-23.40%,194.93M,4.95,351.31M,66.21,2.65,13.48,92.23M,66.17M,0.62,10.74%,43.90,27.66,34.96,36.84,"422,742","354,038",39.30M,10.66%,77.00%,1.19M,2.30,N/A,N/A
BOKF,15.83,4.57B,13.71,1.50,3.53,1.37,N/A,22.23%,34.78%,1.02%,8.98%,1.31B,19.12,10.70%,N/A,N/A,4.19,-2.30%,3.19B,46.30,5.46B,N/A,N/A,48.71,-271.85M,N/A,0.72,-0.03%,71.66,53.01,68.09,63.53,"164,656","217,212",68.92M,61.76%,31.60%,2.05M,11.70,2.50%,1.66
BONT,N/A,93.77M,12.44,-0.18,0.03,1.51,7.38,-0.34%,1.68%,1.87%,-12.67%,2.83B,145.10,0.80%,1.05B,142.43M,-0.49,N/A,8.71M,0.42,955.34M,"1,754.75",1.35,2.60,44.60M,-29.43M,3.80,-58.02%,11.23,3.76,4.85,5.82,"231,288","119,050",20.61M,44.62%,65.00%,3.98M,11.60,4.00%,0.20
BCEI,N/A,335.98M,N/A,-1.49,0.72,0.39,2.68,-2.31%,5.17%,0.87%,-1.38%,504.31M,12.19,-42.60%,486.22M,445.80M,-0.29,N/A,70.51M,1.42,807.31M,87.21,1.54,18.66,282.13M,-587.30M,1.68,-88.31%,61.90,6.54,12.97,21.98,"2,113,030","3,826,260",49.70M,4.40%,99.10%,10.10M,6.00,N/A,N/A
BAMM,12.69,49.46M,N/A,N/A,0.10,0.43,4.45,0.81%,1.18%,1.17%,3.41%,472.11M,33.57,-1.90%,140.42M,21.43M,0.25,N/A,7.06M,0.50,57.25M,52.88,1.31,7.45,30.65M,4.35M,-0.21,52.13%,3.39,1.39,3.01,2.76,"21,383","20,963",15.41M,70.24%,10.60%,3.41K,0.20,N/A,N/A
BOOT,48.94,682.53M,N/A,N/A,1.70,4.82,19.47,3.41%,9.04%,7.36%,12.10%,402.68M,18.20,16.70%,134.78M,45.46M,0.54,45.20%,1.45M,0.06,90.45M,63.51,1.68,5.52,11.51M,-3.27M,0.73,N/A,34.43,16.88,31.73,26.11,"328,366","568,825",25.82M,25.49%,28.50%,1.78M,6.40,2.50%,N/A
BAH,17.56,3.91B,15.12,2.01,0.73,20.74,10.01,4.41%,8.70%,9.86%,129.88%,5.27B,36.27,-4.10%,2.68B,521.48M,1.52,-7.50%,207.22M,1.41,1.63B,872.04,1.37,1.27,309.96M,294.74M,0.70,25.75%,31.30,21.05,26.27,27.78,"946,434","1,123,580",146.07M,54.51%,43.30%,2.67M,3.30,2.00%,0.50
BRDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,16.17,10.83B,13.41,1.47,1.31,3.08,8.90,8.23%,12.87%,8.87%,19.40%,8.21B,36.19,-4.80%,1.76B,1.38B,2.96,12.40%,1.04B,4.58,1.84B,51.60,2.08,15.49,788.10M,267.46M,1.47,-22.61%,64.00,46.50,53.82,58.40,"1,747,930","3,070,200",226.26M,1.47%,93.20%,8.03M,4.40,1.00%,0.52
SAM,33.25,3.14B,28.05,1.80,3.35,6.21,14.54,10.47%,17.10%,17.30%,22.92%,918.66M,70.42,8.50%,465.01M,195.35M,7.07,65.30%,122.16M,9.24,529.00K,0.11,2.45,37.47,171.25M,20.57M,-0.03,1.82%,325.00,210.03,228.89,262.66,"156,919","255,125",9.72M,6.03%,83.70%,1.38M,9.60,N/A,N/A
BPFH,16.46,1.04B,14.18,1.84,3.10,1.56,N/A,19.63%,31.83%,0.97%,9.14%,340.46M,4.25,2.50%,N/A,N/A,0.76,-17.40%,63.10M,0.76,774.55M,N/A,N/A,8.11,N/A,N/A,1.30,2.72%,13.82,10.55,13.07,12.63,"488,306","324,250",83.54M,3.27%,86.20%,2.78M,4.90,2.80%,0.35
BXP,33.47,18.44B,20.51,3.25,7.53,3.32,18.96,22.75%,34.85%,2.81%,8.74%,2.46B,16.10,9.70%,1.53B,1.49B,3.59,206.90%,1.06B,6.94,10.07B,124.25,4.65,36.39,772.79M,338.44M,0.05,-0.40%,146.07,112.75,123.95,133.24,"781,842","868,488",153.42M,0.77%,103.20%,2.10M,2.40,2.10%,7.10
BSX,N/A,23.18B,16.47,1.70,3.22,3.55,15.76,-2.13%,14.01%,3.79%,-2.36%,7.27B,5.46,-1.60%,5.17B,1.75B,-0.12,"2,450.00%",903.00M,0.67,5.11B,77.69,1.95,4.90,N/A,N/A,1.17,41.03%,18.62,11.10,17.65,17.20,"9,031,730","7,741,150",1.34B,0.73%,88.30%,20.19M,2.10,N/A,N/A
EPAY,N/A,1.05B,17.06,0.93,3.11,2.82,23.50,-4.44%,1.30%,0.39%,-3.93%,327.20M,8.69,4.70%,169.92M,44.04M,-0.39,N/A,140.33M,3.70,156.95M,43.62,2.18,9.49,62.56M,37.13M,1.44,-5.24%,30.78,21.01,27.81,27.17,"154,198","106,088",38.78M,2.47%,101.30%,2.42M,15.40,N/A,N/A
BDBD,N/A,566.84M,37.00,3.74,1.03,2.24,11.78,-24.05%,7.34%,3.36%,-41.72%,522.78M,8.56,5.00%,191.15M,59.19M,-2.06,287.90%,21.36M,0.35,299.28M,123.45,2.22,3.93,23.69M,7.04M,1.27,-28.52%,15.47,6.28,7.17,9.09,"1,146,550","1,803,160",61.28M,4.82%,99.70%,11.99M,12.80,N/A,N/A
BVX,13.89,55.61M,N/A,-0.53,1.91,1.99,-5.03,-31.29%,-29.93%,-15.24%,-45.01%,27.33M,1.52,-5.50%,8.99M,-7.32M,0.17,N/A,15.68M,0.68,3.35M,12.80,6.15,1.13,-1.16M,-83.25K,0.69,-43.00%,4.57,2.06,2.40,2.84,"51,766","49,950",23.97M,22.05%,5.50%,48.97K,1.70,N/A,N/A
BYD,N/A,1.87B,22.30,0.27,0.78,3.90,N/A,-0.79%,12.90%,N/A,N/A,2.38B,21.45,-22.50%,1.07B,529.94M,-0.17,N/A,131.20M,1.19,3.40B,710.79,N/A,4.34,N/A,N/A,1.89,71.73%,17.67,8.78,16.22,14.54,"1,031,070","1,393,740",110.37M,28.44%,69.70%,6.72M,7.60,N/A,N/A
BPT,4.65,1.07B,N/A,N/A,4.70,"2,312.27",N/A,99.49%,99.49%,"14,365.95%","45,810.95%",231.37M,10.81,6.40%,N/A,N/A,10.76,6.40%,1.00M,0.05,0.00,N/A,1.92,0.02,N/A,N/A,0.46,-45.78%,97.39,49.99,57.75,65.43,"136,430","139,300",21.40M,N/A,N/A,749.70K,5.60,10.80%,7.19
BPZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRC,N/A,1.18B,14.42,2.19,1.01,1.85,8.85,-5.67%,9.62%,5.56%,-6.94%,1.20B,23.40,-6.30%,609.56M,154.74M,-1.33,-28.50%,100.47M,1.96,268.35M,41.04,2.01,12.74,70.32M,143.62M,0.95,-10.40%,28.99,20.98,24.21,26.19,"176,775","138,712",47.78M,3.54%,82.20%,2.54M,13.60,3.40%,0.80
BDN,251.30,2.44B,9.36,2.74,4.19,1.17,17.80,3.18%,22.93%,1.76%,0.94%,585.22M,3.30,-1.90%,367.81M,268.33M,0.05,39.40%,123.98M,0.69,2.44B,115.50,2.23,11.66,N/A,N/A,0.81,-12.73%,17.13,13.15,13.66,14.90,"2,134,530","2,089,360",179.87M,1.22%,88.90%,5.73M,1.90,4.40%,0.60
BBRG,20.84,196.05M,16.97,1.56,0.47,3.49,6.79,2.77%,3.59%,3.73%,14.42%,413.83M,23.23,5.40%,61.52M,35.81M,0.62,-12.00%,357.00K,0.02,57.10M,101.54,0.28,3.70,45.21M,5.96M,0.70,-11.58%,15.50,11.58,13.20,13.87,"84,017","164,200",15.20M,12.07%,83.80%,380.08K,6.20,N/A,N/A
BZC,8.10,119.81M,N/A,N/A,1.30,1.73,6.62,16.60%,15.45%,9.81%,25.35%,89.78M,9.18,9.50%,34.86M,15.25M,1.50,91.30%,22.81M,2.32,0.00,N/A,4.09,6.84,16.90M,10.99M,0.06,20.06%,13.36,9.53,12.19,10.83,"13,583","27,188",9.86M,72.34%,15.80%,9.61K,1.00,N/A,N/A
BBEP,1.35,641.29M,N/A,0.12,0.82,0.19,3.76,46.08%,65.40%,5.62%,13.33%,807.82M,5.17,-24.70%,507.76M,1.07B,2.25,N/A,8.69M,0.04,3.38B,92.58,2.37,16.39,382.59M,-77.76M,1.65,-86.11%,23.06,2.54,3.88,5.74,"2,129,020","2,869,150",210.95M,2.24%,19.00%,8.25M,3.90,15.90%,1.14
